id,picking_slip_id,printed_username,inspected_username,packed_username,shipped_username,held_username,cancelled_username,refunded_username,confirmed_username,printed_at,inspected_at,packed_at,shipped_at,delivered_at,returned_at,cancelled_at,refunded_at,held_at,confirmed_at,held_reason
922,922,chloe93(12810),chloe93(12810),chloe93(12810),,,,,system(0),2023-01-09 13:10:38,2023-01-09 13:11:16,2023-01-09 13:33:47,2023-01-10 02:21:02,2022-12-18 15:37:00,,,,,2023-01-12 11:20:03,
923,923,chloe93(12810),chloe93(12810),chloe93(12810),,,,,,2023-01-09 13:10:38,2023-01-09 13:11:16,2023-01-09 13:33:47,2023-01-10 02:21:02,,,,,,,
924,924,chloe93(12810),chloe93(12810),chloe93(12810),,,,,system(0),2023-01-09 13:10:38,2023-01-09 13:11:16,2023-01-09 13:33:47,2023-01-10 02:21:02,2022-12-23 01:22:00,,,,,2023-01-12 11:20:03,
925,925,chloe93(12810),chloe93(12810),chloe93(12810),,,,,,2023-01-09 13:10:38,2023-01-09 13:11:16,2023-01-09 13:33:47,2023-01-10 02:21:02,,,,,,,
926,926,chloe93(12810),chloe93(12810),chloe93(12810),,,,,system(0),2023-01-09 13:10:38,2023-01-09 13:11:16,2023-01-09 13:33:47,2023-01-10 02:21:02,2022-12-20 21:35:00,,,,,2023-01-12 11:20:03,
927,927,chloe93(12810),chloe93(12810),chloe93(12810),,,,,system(0),2023-01-09 13:10:38,2023-01-09 13:11:16,2023-01-09 13:33:47,2023-01-10 02:21:02,2022-12-21 20:18:00,,,,,2023-01-12 11:20:03,
928,928,chloe93(12810),chloe93(12810),chloe93(12810),,,,,system(0),2023-01-09 13:10:38,2023-01-09 13:11:16,2023-01-09 13:33:47,2023-01-10 02:21:02,2022-12-22 02:05:00,,,,,2023-01-12 11:20:33,
929,929,chloe93(12810),chloe93(12810),chloe93(12810),,,,,,2023-01-09 13:10:38,2023-01-09 13:11:16,2023-01-09 13:33:47,2023-01-10 02:21:02,,,,,,,
930,930,chloe93(12810),chloe93(12810),chloe93(12810),,,,,system(0),2023-01-09 13:10:38,2023-01-09 13:11:16,2023-01-09 13:33:47,2023-01-10 02:21:02,2022-12-15 23:34:00,,,,,2023-01-12 11:20:33,
931,931,chloe93(12810),chloe93(12810),chloe93(12810),,,,,,2023-01-09 13:10:38,2023-01-09 13:11:16,2023-01-09 13:33:47,2023-01-10 02:21:02,,,,,,,
932,932,chloe93(12810),chloe93(12810),chloe93(12810),,,,,system(0),2023-01-09 13:10:38,2023-01-09 13:11:16,2023-01-09 13:33:47,2023-01-10 02:21:02,2022-12-27 04:56:21,,,,,2023-01-12 11:20:33,
933,933,chloe93(12810),chloe93(12810),chloe93(12810),,,,,system(0),2023-01-09 13:10:38,2023-01-09 13:11:16,2023-01-09 13:33:47,2023-01-10 02:21:02,2022-12-15 00:56:00,,,,,2023-01-12 11:20:33,
934,934,chloe93(12810),chloe93(12810),chloe93(12810),,,,,system(0),2023-01-09 13:10:38,2023-01-09 13:11:16,2023-01-09 13:33:47,2023-01-10 02:21:02,2022-12-19 18:04:00,,,,,2023-01-12 11:20:33,
935,935,chloe93(12810),chloe93(12810),chloe93(12810),,,,,system(0),2023-01-09 13:10:38,2023-01-09 13:11:16,2023-01-09 13:33:47,2023-01-10 02:21:02,2022-12-21 00:04:00,,,,,2023-01-12 11:20:33,
936,936,chloe93(12810),chloe93(12810),chloe93(12810),,,,,chloe93(12810),2023-01-09 13:10:38,2023-01-09 13:11:16,2023-01-09 13:33:47,2023-01-10 02:21:02,,,,,,2023-01-10 02:21:29,
937,937,chloe93(12810),chloe93(12810),chloe93(12810),,,,,chloe93(12810),2023-01-09 13:10:38,2023-01-09 13:11:16,2023-01-09 13:33:47,2023-01-10 02:21:02,,,,,,2023-01-10 02:22:26,
938,938,chloe93(12810),chloe93(12810),chloe93(12810),,,,,system(0),2023-01-09 13:10:38,2023-01-09 13:11:16,2023-01-09 13:33:47,2023-01-10 02:21:02,2022-12-15 20:27:00,,,,,2023-01-12 11:20:33,
939,939,chloe93(12810),chloe93(12810),chloe93(12810),,,,,chloe93(12810),2023-01-09 13:10:38,2023-01-09 13:11:16,2023-01-09 13:33:47,2023-01-10 02:21:02,2022-12-15 02:10:00,,,,,2023-01-10 02:35:51,
940,940,chloe93(12810),chloe93(12810),chloe93(12810),,,,,system(0),2023-01-09 13:10:38,2023-01-09 13:11:16,2023-01-09 13:33:47,2023-01-10 02:21:02,2022-12-15 20:41:00,,,,,2023-01-12 11:20:33,
941,941,chloe93(12810),chloe93(12810),chloe93(12810),,,,,system(0),2023-01-09 13:10:38,2023-01-09 13:11:16,2023-01-09 13:33:47,2023-01-10 02:21:02,2022-12-19 20:32:00,,,,,2023-01-12 11:20:33,
942,942,chloe93(12810),chloe93(12810),chloe93(12810),,,,,system(0),2023-01-09 13:10:38,2023-01-09 13:11:16,2023-01-09 13:33:47,2023-01-10 02:21:02,2022-12-23 20:23:00,,,,,2023-01-12 11:20:33,
952,952,chloe93(12810),chloe93(12810),chloe93(12810),,,,,,2023-01-09 13:10:38,2023-01-09 13:11:16,2023-01-09 13:33:47,2023-01-10 02:21:02,,,,,,,
953,953,chloe93(12810),chloe93(12810),chloe93(12810),,,,,,2023-01-09 13:10:38,2023-01-09 13:11:16,2023-01-09 13:33:47,2023-01-10 02:21:02,,,,,,,
954,954,chloe93(12810),chloe93(12810),chloe93(12810),,,,,,2023-01-09 13:10:38,2023-01-09 13:11:16,2023-01-09 13:33:47,2023-01-10 02:21:02,,,,,,,
955,955,chloe93(12810),chloe93(12810),chloe93(12810),,,,,,2023-01-09 13:10:38,2023-01-09 13:11:16,2023-01-09 13:33:47,2023-01-10 02:21:02,,,,,,,
956,956,chloe93(12810),chloe93(12810),chloe93(12810),,,,,system(0),2023-01-09 13:10:38,2023-01-09 13:11:16,2023-01-09 13:33:47,2023-01-10 02:21:02,2022-12-17 18:07:00,,,,,2023-01-12 11:20:33,
957,957,chloe93(12810),chloe93(12810),chloe93(12810),,,,,,2023-01-09 13:10:38,2023-01-09 13:11:16,2023-01-09 13:33:47,2023-01-10 02:21:02,2022-12-20 03:49:00,,,,,,
958,958,chloe93(12810),chloe93(12810),chloe93(12810),,,,,,2023-01-09 13:10:38,2023-01-09 13:11:16,2023-01-09 13:33:47,2023-01-10 02:21:02,,,,,,,
